document,type,word,count
There has been a leap in the Arabic world’s consciousness,ORGANIZATION,Shias,2.0
There has been a leap in the Arabic world’s consciousness,ORGANIZATION,Mujahidin,1.0
There has been a leap in the Arabic world’s consciousness,ORGANIZATION,Sunnis,1.0
There has been a leap in the Arabic world’s consciousness,PERSON,God,3.0
There has been a leap in the Arabic world’s consciousness,PERSON,Sa'id,1.0
There has been a leap in the Arabic world’s consciousness,PERSON,Shaykh,1.0
To Abu-al-Faraj and ‘Abd-al-Hadi,LOCATION,Peshawar,2.0
To Abu-al-Faraj and ‘Abd-al-Hadi,LOCATION,Pashtu,1.0
To Abu-al-Faraj and ‘Abd-al-Hadi,LOCATION,Rome,1.0
To Abu-al-Faraj and ‘Abd-al-Hadi,LOCATION,Turkistan,1.0
To Abu-al-Faraj and ‘Abd-al-Hadi,ORGANIZATION,Al-Ansar,2.0
To Abu-al-Faraj and ‘Abd-al-Hadi,ORGANIZATION,Emirate,1.0
To Abu-al-Faraj and ‘Abd-al-Hadi,ORGANIZATION,Hanafis,1.0
To Abu-al-Faraj and ‘Abd-al-Hadi,ORGANIZATION,Islamic,1.0
To Abu-al-Faraj and ‘Abd-al-Hadi,ORGANIZATION,Pakistanis,1.0
To Abu-al-Faraj and ‘Abd-al-Hadi,PERSON,Abu-al-Faraj,6.0
To Abu-al-Faraj and ‘Abd-al-Hadi,PERSON,Amir,3.0
To Abu-al-Faraj and ‘Abd-al-Hadi,PERSON,God,3.0
To Abu-al-Faraj and ‘Abd-al-Hadi,PERSON,Abu-al-Layth,2.0
To Abu-al-Faraj and ‘Abd-al-Hadi,PERSON,Al-Mawlawi,2.0
To Abu-al-Faraj and ‘Abd-al-Hadi,PERSON,Ansar,2.0
To Abu-al-Faraj and ‘Abd-al-Hadi,PERSON,Shaykh,2.0
To Abu-al-Faraj and ‘Abd-al-Hadi,PERSON,Abu-Sa,1.0
To Abu-al-Faraj and ‘Abd-al-Hadi,PERSON,Al-Shaykh,1.0
To Abu-al-Faraj and ‘Abd-al-Hadi,PERSON,Muhammad,1.0
To Abu-al-Faraj and ‘Abd-al-Hadi,PERSON,Ramadan,1.0
To Abu-al-Faraj and ‘Abd-al-Hadi,PERSON,Yasir,1.0
To Emir Al-Mo’mineen,PERSON,God,7.0
To Emir Al-Mo’mineen,PERSON,Almighty,2.0
To Emir Al-Mo’mineen,PERSON,Emir,1.0
To Emir Al-Mo’mineen,PERSON,Muhammad,1.0
To Muslims in Yemen,LOCATION,Yemen,5.0
To Muslims in Yemen,LOCATION,America,2.0
To Muslims in Yemen,LOCATION,Iraq,1.0
To Muslims in Yemen,LOCATION,Palestine,1.0
To Muslims in Yemen,LOCATION,Tunisia,1.0
To Muslims in Yemen,ORGANIZATION,Muslims,4.0
To Muslims in Yemen,ORGANIZATION,Americans,3.0
To Muslims in Yemen,PERSON,Abdallah,1.0
To Muslims in Yemen,PERSON,Ali,1.0
To Muslims in Yemen,PERSON,Huthi,1.0
To Muslims in Yemen,PERSON,Saleh,1.0
To my Precious Father,PERSON,God,9.0
To my Precious Father,PERSON,Al-Suri,1.0
To my Precious Father,PERSON,Almighty,1.0
To my Precious Father,PERSON,August,1.0
To my Precious Father,PERSON,Bin-Usama,1.0
To my Precious Father,PERSON,Muhammad,1.0
To my Precious Father,PERSON,Prophet,1.0
To my Precious Father,PERSON,Sa'ad,1.0
To my Son Abu 'Abdallah,LOCATION,Iran,1.0
To my Son Abu 'Abdallah,LOCATION,Pakistan,1.0
To my Son Abu 'Abdallah,ORGANIZATION,Yemenis,1.0
To my Son Abu 'Abdallah,PERSON,God,22.0
To my Son Abu 'Abdallah,PERSON,Shaykh,5.0
To my Son Abu 'Abdallah,PERSON,Sa'id,4.0
To my Son Abu 'Abdallah,PERSON,Abdallah,3.0
To my Son Abu 'Abdallah,PERSON,Fatima,3.0
To my Son Abu 'Abdallah,PERSON,Miriam,2.0
To my Son Abu 'Abdallah,PERSON,Abd-al-Rahman,1.0
To my Son Abu 'Abdallah,PERSON,Abu-Abdallah,1.0
To my Son Abu 'Abdallah,PERSON,Al-Adha,1.0
To my Son Abu 'Abdallah,PERSON,Bakr,1.0
To my Son Abu 'Abdallah,PERSON,Eid,1.0
To my Son Abu 'Abdallah,PERSON,Hamzah,1.0
To my Son Abu 'Abdallah,PERSON,Muhammad,1.0
To my Son Abu 'Abdallah,PERSON,Safiyah,1.0
To my noble brother Hajj ‘Uthman,LOCATION,Iraq,2.0
To my noble brother Hajj ‘Uthman,LOCATION,Waziristan,1.0
To my noble brother Hajj ‘Uthman,ORGANIZATION,Mujahidin,5.0
To my noble brother Hajj ‘Uthman,ORGANIZATION,Muslims,2.0
To my noble brother Hajj ‘Uthman,ORGANIZATION,Iraqis,1.0
To my noble brother Hajj ‘Uthman,ORGANIZATION,Pakistanis,1.0
To my noble brother Hajj ‘Uthman,PERSON,God,5.0
To my noble brother Hajj ‘Uthman,PERSON,Al-Zayyat,1.0
To my noble brother Hajj ‘Uthman,PERSON,Almighty,1.0
To my noble brother Hajj ‘Uthman,PERSON,Hajj,1.0
To my noble brother Hajj ‘Uthman,PERSON,Muhammad,1.0
To my noble brother Hajj ‘Uthman,PERSON,Prophet,1.0
To my noble brother Hajj ‘Uthman,PERSON,Uthman,1.0
To our honorable Emir the Emir of all Believers,LOCATION,Afghanistan,7.0
To our honorable Emir the Emir of all Believers,LOCATION,America,6.0
To our honorable Emir the Emir of all Believers,LOCATION,Canada,1.0
To our honorable Emir the Emir of all Believers,LOCATION,Pakistan,1.0
To our honorable Emir the Emir of all Believers,LOCATION,West,1.0
To our honorable Emir the Emir of all Believers,ORGANIZATION,Muslims,5.0
To our honorable Emir the Emir of all Believers,ORGANIZATION,Mujahidin,4.0
To our honorable Emir the Emir of all Believers,ORGANIZATION,Islam,2.0
To our honorable Emir the Emir of all Believers,ORGANIZATION,Americans,1.0
To our honorable Emir the Emir of all Believers,ORGANIZATION,NATO,1.0
To our honorable Emir the Emir of all Believers,ORGANIZATION,Republican,1.0
To our honorable Emir the Emir of all Believers,ORGANIZATION,Russians,1.0
To our honorable Emir the Emir of all Believers,ORGANIZATION,party,1.0
To our honorable Emir the Emir of all Believers,PERSON,God,15.0
To our honorable Emir the Emir of all Believers,PERSON,Almighty,6.0
To our honorable Emir the Emir of all Believers,PERSON,Obama,3.0
To our honorable Emir the Emir of all Believers,PERSON,Al-Bukhari,1.0
To our honorable Emir the Emir of all Believers,PERSON,Bin-Ladin,1.0
To our honorable Emir the Emir of all Believers,PERSON,Bin-Muhammad,1.0
To our honorable Emir the Emir of all Believers,PERSON,Dhu,1.0
To our honorable Emir the Emir of all Believers,PERSON,Friday,1.0
To our honorable Emir the Emir of all Believers,PERSON,Gorbachev,1.0
To our honorable Emir the Emir of all Believers,PERSON,Ibn-Majah,1.0
To our honorable Emir the Emir of all Believers,PERSON,Muhammad,1.0
To our honorable Emir the Emir of all Believers,PERSON,Usama,1.0
To our people in Libya,LOCATION,Libya,8.0
To our people in Libya,LOCATION,Shariah,3.0
To our people in Libya,LOCATION,Egypt,1.0
To our people in Libya,LOCATION,Tunisia,1.0
To our people in Libya,ORGANIZATION,Islam,6.0
To our people in Libya,ORGANIZATION,Muslims,4.0
To our people in Libya,ORGANIZATION,Al-Qaida,2.0
To our people in Libya,ORGANIZATION,Americans,2.0
To our people in Libya,ORGANIZATION,Al-Jazeera,1.0
To our people in Libya,ORGANIZATION,Europeans,1.0
To our people in Libya,PERSON,God,32.0
To our people in Libya,PERSON,Al-Awal,1.0
To our people in Libya,PERSON,Almighty,1.0
To our people in Libya,PERSON,Ibrahim,1.0
To our people in Libya,PERSON,Jamal,1.0
To our people in Libya,PERSON,Muhammad,1.0
To our people in Libya,PERSON,Prophet,1.0
To our people in Libya,PERSON,Rabi,1.0
To our respected Shaykhs,LOCATION,America,4.0
To our respected Shaykhs,LOCATION,Afghanistan,2.0
To our respected Shaykhs,ORGANIZATION,Muslims,5.0
To our respected Shaykhs,ORGANIZATION,Al-Qaida,1.0
To our respected Shaykhs,ORGANIZATION,Americans,1.0
To our respected Shaykhs,ORGANIZATION,Pakistanis,1.0
To our respected Shaykhs,PERSON,Allah,13.0
To our respected Shaykhs,PERSON,God,12.0
To our respected Shaykhs,PERSON,Almighty,3.0
To our respected Shaykhs,PERSON,Abu-Hafas,2.0
To our respected Shaykhs,PERSON,Umar,2.0
To our respected Shaykhs,PERSON,Abu-Ghayth,1.0
To our respected Shaykhs,PERSON,Mullah,1.0
To the American people,LOCATION,America,5.0
To the American people,LOCATION,Iraq,5.0
To the American people,LOCATION,Palestine,5.0
To the American people,LOCATION,House,3.0
To the American people,LOCATION,White,3.0
To the American people,LOCATION,Afghanistan,1.0
To the American people,LOCATION,New,1.0
To the American people,LOCATION,Soviet,1.0
To the American people,LOCATION,Union,1.0
To the American people,LOCATION,Washington,1.0
To the American people,LOCATION,York,1.0
To the American people,ORGANIZATION,Americans,4.0
To the American people,ORGANIZATION,Israelis,4.0
To the American people,ORGANIZATION,British,2.0
To the American people,ORGANIZATION,Congress,1.0
To the American people,ORGANIZATION,Parliament,1.0
To the American people,PERSON,Obama,3.0
To the American people,PERSON,Bush,2.0
To the American people,PERSON,God,2.0
To the American people,PERSON,Husayn,1.0
To the American people,PERSON,Hussein,1.0
To the American people,PERSON,Saddam,1.0
To the Islamic Community in General,LOCATION,America,7.0
To the Islamic Community in General,LOCATION,Afghanistan,2.0
To the Islamic Community in General,LOCATION,East,2.0
To the Islamic Community in General,LOCATION,Iraq,1.0
To the Islamic Community in General,LOCATION,Middle,1.0
To the Islamic Community in General,LOCATION,West,1.0
To the Islamic Community in General,ORGANIZATION,in,16.0
To the Islamic Community in General,ORGANIZATION,Islamic,5.0
To the Islamic Community in General,ORGANIZATION,Mujahidin,3.0
To the Islamic Community in General,ORGANIZATION,Islam,2.0
To the Islamic Community in General,ORGANIZATION,Americans,1.0
To the Islamic Community in General,ORGANIZATION,General,1.0
To the Islamic Community in General,ORGANIZATION,Muslims,1.0
To the Islamic Community in General,ORGANIZATION,Peace,1.0
To the Islamic Community in General,PERSON,God,10.0
To the Islamic Community in General,PERSON,Prophet,2.0
To the Islamic Community in General,PERSON,Almighty,1.0
To the Islamic Community in General,PERSON,Muhammad,1.0
To the dear mother,PERSON,God,11.0
To the dear mother,PERSON,Abu,1.0
To the dear mother,PERSON,Khadijah,1.0
To the dear mother,PERSON,Maryam,1.0
To the dear mother,PERSON,Suham,1.0
To the dear mother,PERSON,Usamah,1.0
To the father and the mother,PERSON,God,13.0
To the father and the mother,PERSON,Allah,7.0
To the father and the mother,PERSON,Khadijah,4.0
To the father and the mother,PERSON,Usamah,4.0
To the father and the mother,PERSON,Abdallah,2.0
To the father and the mother,PERSON,Aisha,2.0
To the father and the mother,PERSON,Fatimah,2.0
To the father and the mother,PERSON,Uncle,2.0
To the father and the mother,PERSON,Abd-al-Latif,1.0
To the father and the mother,PERSON,Almighty,1.0
To the father and the mother,PERSON,Muhammad,1.0
To the honorable brother Mahmud,LOCATION,Afghanistan,2.0
To the honorable brother Mahmud,LOCATION,Algeria,1.0
To the honorable brother Mahmud,LOCATION,Israel,1.0
To the honorable brother Mahmud,LOCATION,Kabul,1.0
To the honorable brother Mahmud,LOCATION,Pakistan,1.0
To the honorable brother Mahmud,LOCATION,Yemen,1.0
To the honorable brother Mahmud,ORGANIZATION,Mujahidin,4.0
To the honorable brother Mahmud,ORGANIZATION,Americans,2.0
To the honorable brother Mahmud,ORGANIZATION,Taliban,2.0
To the honorable brother Mahmud,ORGANIZATION,Jews,1.0
To the honorable brother Mahmud,ORGANIZATION,Muslims,1.0
To the honorable brother Mahmud,PERSON,Allah,6.0
To the honorable brother Mahmud,PERSON,God,6.0
To the honorable brother Mahmud,PERSON,Mahmud,2.0
To the honorable brother Mahmud,PERSON,Mawlawi,2.0
To the honorable brother Mahmud,PERSON,Maydan,2.0
To the honorable brother Mahmud,PERSON,May,1.0
To the honorable brother Mahmud,PERSON,Shaykh,1.0
"To the kind brother, Shaykh Mahmud",LOCATION,America,2.0
"To the kind brother, Shaykh Mahmud",LOCATION,Peshawar,2.0
"To the kind brother, Shaykh Mahmud",LOCATION,Afghanistan,1.0
"To the kind brother, Shaykh Mahmud",LOCATION,Earth,1.0
"To the kind brother, Shaykh Mahmud",LOCATION,Kohat,1.0
"To the kind brother, Shaykh Mahmud",LOCATION,Manhattan,1.0
"To the kind brother, Shaykh Mahmud",LOCATION,Pakistan,1.0
"To the kind brother, Shaykh Mahmud",LOCATION,Waziristan,1.0
"To the kind brother, Shaykh Mahmud",ORGANIZATION,Americans,4.0
"To the kind brother, Shaykh Mahmud",ORGANIZATION,Al-Jazeera,3.0
"To the kind brother, Shaykh Mahmud",ORGANIZATION,Afghanis,1.0
"To the kind brother, Shaykh Mahmud",ORGANIZATION,Muslims,1.0
"To the kind brother, Shaykh Mahmud",PERSON,Allah,3.0
"To the kind brother, Shaykh Mahmud",PERSON,Azzam,2.0
"To the kind brother, Shaykh Mahmud",PERSON,Robert,2.0
"To the kind brother, Shaykh Mahmud",PERSON,Ahmad,1.0
"To the kind brother, Shaykh Mahmud",PERSON,Mahmud,1.0
"To the kind brother, Shaykh Mahmud",PERSON,Shaykh,1.0
To the noble brother al-Hajj ‘Uthman,LOCATION,Iraq,13.0
To the noble brother al-Hajj ‘Uthman,LOCATION,Islamic,12.0
To the noble brother al-Hajj ‘Uthman,LOCATION,State,5.0
To the noble brother al-Hajj ‘Uthman,LOCATION,Afghanistan,1.0
To the noble brother al-Hajj ‘Uthman,LOCATION,Iran,1.0
To the noble brother al-Hajj ‘Uthman,LOCATION,Islam,1.0
To the noble brother al-Hajj ‘Uthman,LOCATION,Palestine,1.0
To the noble brother al-Hajj ‘Uthman,ORGANIZATION,Al-Qaida,7.0
To the noble brother al-Hajj ‘Uthman,ORGANIZATION,Hamas,1.0
To the noble brother al-Hajj ‘Uthman,ORGANIZATION,Muslims,1.0
To the noble brother al-Hajj ‘Uthman,ORGANIZATION,Zionists,1.0
To the noble brother al-Hajj ‘Uthman,PERSON,God,13.0
To the noble brother al-Hajj ‘Uthman,PERSON,Al-Islami,5.0
To the noble brother al-Hajj ‘Uthman,PERSON,Almighty,4.0
To the noble brother al-Hajj ‘Uthman,PERSON,Shaykh,3.0
To the noble brother al-Hajj ‘Uthman,PERSON,Hamid,2.0
To the noble brother al-Hajj ‘Uthman,PERSON,Sururi,2.0
To the noble brother al-Hajj ‘Uthman,PERSON,Abi,1.0
To the noble brother al-Hajj ‘Uthman,PERSON,Abu-Umar,1.0
To the noble brother al-Hajj ‘Uthman,PERSON,Al,1.0
To the noble brother al-Hajj ‘Uthman,PERSON,Al-Awal,1.0
To the noble brother al-Hajj ‘Uthman,PERSON,Al-Hajj,1.0
To the noble brother al-Hajj ‘Uthman,PERSON,Atiyah,1.0
To the noble brother al-Hajj ‘Uthman,PERSON,Baghdadi,1.0
To the noble brother al-Hajj ‘Uthman,PERSON,Baluchi,1.0
To the noble brother al-Hajj ‘Uthman,PERSON,Hasan,1.0
To the noble brother al-Hajj ‘Uthman,PERSON,Kurdsish,1.0
To the noble brother al-Hajj ‘Uthman,PERSON,Muhammad,1.0
To the noble brother al-Hajj ‘Uthman,PERSON,Nasrallah,1.0
To the noble brother al-Hajj ‘Uthman,PERSON,Rabani,1.0
To the noble brother al-Hajj ‘Uthman,PERSON,Rabi,1.0
To the noble brother al-Hajj ‘Uthman,PERSON,Uthman,1.0
Tunis,LOCATION,Iraq,4.0
Tunis,LOCATION,Afghanistan,1.0
Tunis,LOCATION,Islamic,1.0
Tunis,LOCATION,Pakistan,1.0
Tunis,LOCATION,Republic,1.0
Tunis,LOCATION,Somalisa,1.0
Tunis,LOCATION,Tunis,1.0
Tunis,ORGANIZATION,Al-Qaida,1.0
Tunis,ORGANIZATION,Taliban,1.0
Tunis,PERSON,God,13.0
Tunis,PERSON,Amir,4.0
Tunis,PERSON,Al-Mujahidin,3.0
Tunis,PERSON,Khalid,3.0
Tunis,PERSON,Mahmud,2.0
Tunis,PERSON,Abdallah,1.0
Tunis,PERSON,Abu-Bakr,1.0
Tunis,PERSON,Abu-al-Harith,1.0
Tunis,PERSON,Al,1.0
Tunis,PERSON,Al-Qaradawi,1.0
Tunis,PERSON,Al-Shaykh,1.0
Tunis,PERSON,Al-Tayyib,1.0
Tunis,PERSON,Al-Zayyat,1.0
Tunis,PERSON,Baghdadi,1.0
Tunis,PERSON,Malik,1.0
Tunis,PERSON,Shaykh,1.0
Up Until Now,LOCATION,Afghanistan,1.0
Up Until Now,LOCATION,Iraq,1.0
Up Until Now,LOCATION,Pakistan,1.0
Up Until Now,ORGANIZATION,Americans,2.0
Up Until Now,ORGANIZATION,Pakistanis,1.0
Up Until Now,PERSON,God,5.0
Up Until Now,PERSON,Al-Shaykh,1.0
Up Until Now,PERSON,Al-Zubayr,1.0
Up Until Now,PERSON,Hamzah,1.0
Up Until Now,PERSON,Khalid,1.0
When can someone put an end to those who practice polytheism,LOCATION,Baghdad,2.0
When can someone put an end to those who practice polytheism,LOCATION,Alliance,1.0
When can someone put an end to those who practice polytheism,LOCATION,Iran,1.0
When can someone put an end to those who practice polytheism,LOCATION,Iraq,1.0
When can someone put an end to those who practice polytheism,LOCATION,Mecca,1.0
When can someone put an end to those who practice polytheism,LOCATION,SaudiArabia,1.0
When can someone put an end to those who practice polytheism,ORGANIZATION,Shias,19.0
When can someone put an end to those who practice polytheism,ORGANIZATION,Islam,5.0
When can someone put an end to those who practice polytheism,ORGANIZATION,Sunnis,4.0
When can someone put an end to those who practice polytheism,ORGANIZATION,Jews,3.0
When can someone put an end to those who practice polytheism,ORGANIZATION,Muslims,3.0
When can someone put an end to those who practice polytheism,ORGANIZATION,Mujahidin,1.0
When can someone put an end to those who practice polytheism,PERSON,God,14.0
When can someone put an end to those who practice polytheism,PERSON,Medina,5.0
When can someone put an end to those who practice polytheism,PERSON,Almighty,3.0
When can someone put an end to those who practice polytheism,PERSON,Allah,2.0
When can someone put an end to those who practice polytheism,PERSON,Aishah,1.0
When can someone put an end to those who practice polytheism,PERSON,Al-Ulwan,1.0
When can someone put an end to those who practice polytheism,PERSON,Caliph,1.0
When can someone put an end to those who practice polytheism,PERSON,Ibn-Saba,1.0
When can someone put an end to those who practice polytheism,PERSON,Muhammad,1.0
When can someone put an end to those who practice polytheism,PERSON,Sulayman,1.0
